proveedor,ciudad,codigo,slug,precio_desde,moneda,rating,opiniones,cancelacion,url
viator,barcelona,110975P4,sagrada-familia-tour-gaudi-privado,91,EUR,4.7,1242,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Loving-Gaudi-The-most-original-private-tour-with-skip-the-line-tickets/d562-110975P4?pid=P00298823&mcid=42383&medium=link
viator,barcelona,15932P95,sagrada-familia-fast-track-guided-tour,54,EUR,4.9,1431,gratis 24h,https://www.viator.com/tours/Barcelona/Barcelona-Gaudis-Sagrada-Familia-Fast-Track-Guided-Tour/d562-15932P95?pid=P00298823&mcid=42383&medium=link&primaryLanguage=en
viator,barcelona,17377P55,casa-batllo-tour-guia-experto-viator,159,EUR,5.0,17,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Casa-Batllo/d562-17377P55?pid=P00298823&mcid=42383&medium=link
viator,barcelona,190179P1,sagrada-familia-tour-express,56,EUR,4.7,3414,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Sagrada-Familia-Guided-express-english-tour/d562-190179P1?pid=P00298823&mcid=42383&medium=link
viator,barcelona,190179P9,park-guell-tour-guiado-multilingue-viator,30,EUR,4.3,265,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Guided-Tour-Park-Guell-English-Spanish-or-French-guided-tour/d562-190179P9?pid=P00298823&mcid=42383&medium=link
viator,barcelona,21035P1,montserrat-teleferico-y-caminata-viator,74,EUR,4.9,566,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Montserrat-Half-Day-Tour-Easy-Hike-with-Hotel-Pick-up-from-Barcelona/d562-21035P1?pid=P00298823&mcid=42383&medium=link
viator,barcelona,2140FCBCN,camp-nou-museo-fecha-flexible-viator,45,EUR,3.9,1319,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Camp-Nou-Experience-and-Museum-Admission-Ticket/d562-2140FCBCN?pid=P00298823&mcid=42383&medium=link
viator,barcelona,2140SAGRADA,sagrada-familia-tour-guiado-viator,55,EUR,4.4,9278,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Skip-the-Line-Barcelona-Sagrada-Familia-Tour/d562-2140SAGRADA?pid=P00298823&mcid=42383&medium=link
viator,barcelona,340934P2,park-guell-tour-sin-colas-viator-golden,32,EUR,4.2,511,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Park-Guell-Tickets-Skip-The-Line-Entrance/d562-340934P2?pid=P00298823&mcid=42383&medium=link
viator,barcelona,3731P233,park-guell-express-sin-colas-con-transporte-viator,24,EUR,4.5,386,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Park-Guell-Express-Tour-Skip-the-Line-and-Private-Transport-from-City-Center/d562-3731P233?pid=P00298823&mcid=42383&medium=link
viator,barcelona,5587CASAMILA,casa-mila-entrada-audioguia-viator,34,EUR,4.5,1052,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Skip-the-Line-Gaudis-La-Pedrera-Audio-Tour-in-Barcelona/d562-5587CASAMILA?pid=P00298823&mcid=42383&medium=link
viator,barcelona,56823P23,sagrada-familia-fast-track-con-torre,65,EUR,4.4,2480,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Sagrada-Familia-Fast-Track-Guided-Tour-with-Towers-Access/d562-56823P23?pid=P00298823&mcid=42383&medium=link
