proveedor,ciudad,codigo,precio_desde,moneda,rating,opiniones,cancelacion,publicada,url
"getyourguide","barcelona","t1014836","20","EUR","4.9","117","gratis 24h","si","https://www.getyourguide.com/barcelona-l45/barcelona-walk-like-a-local-el-born-gothic-15-sights-t1014836/"
"getyourguide","barcelona","t1177","50","EUR","4.6","7706","gratis 24h","no","https://www.getyourguide.com/barcelona-l45/barcelona-montserrat-tour-with-rack-railway-and-virgin-la-moreneta-t1177/"
"getyourguide","barcelona","t1187145","160","EUR","4.6","","gratis 24h","no","https://www.getyourguide.es/barcelona-l45/tour-privado-por-la-sagrada-familia-descubre-la-perspectiva-de-gaudi-t1187145/"
"getyourguide","barcelona","t168768","64","EUR","4.5","377","no reembolsable","si","https://www.getyourguide.es/barcelona-l45/casa-batllo-night-visit-with-live-music-on-the-roof-terrace-t168768/"
"getyourguide","barcelona","t217593","28","EUR","4.6","571","gratis 24h","no","https://www.getyourguide.es/barcelona-l45/barcelona-park-guell-guided-tour-t217593/"
"getyourguide","barcelona","t231887","88","EUR","4.8","2125","gratis 24h","si","https://www.getyourguide.es/barcelona-l45/barcelona-flamenco-show-with-tapas-dinner-t231887/"
"getyourguide","barcelona","t2323","27.3","EUR","4","885","gratis 24h","no","https://www.getyourguide.es/barcelona-l45/park-guell-guided-tour-with-skip-the-line-entry-t2323/"
"getyourguide","barcelona","t243552","42","EUR","4.6","2449","gratis 24h","no","https://www.getyourguide.com/barcelona-l45/montserrat-full-day-tour-with-optional-tickets-t243552/"
"getyourguide","barcelona","t288805","47","EUR","4.8","13565","gratis 24h","no","https://www.getyourguide.es/barcelona-l45/barcelona-visita-y-ticket-de-entrada-sin-colas-a-la-sagrada-familia-t288805/"
"getyourguide","barcelona","t29293","55","EUR","4.4","5559","gratis 24h","no","https://www.getyourguide.es/barcelona-l45/sagrada-familia-saltate-la-cola-t29293/"
"getyourguide","barcelona","t297915","41","EUR","4.7","3416","gratis 24h","no","https://www.getyourguide.com/barcelona-l45/montserrat-half-day-trip-with-basilica-t297915/"
"getyourguide","barcelona","t355905","59","EUR","4.6","1454","gratis 24h","no","https://www.getyourguide.es/barcelona-l45/barcelona-tour-de-la-sagrada-familia-con-ticket-de-entrada-sin-colas-t355905/"
"getyourguide","barcelona","t356790","128","EUR","4.6","331","gratis 24h","si","https://www.getyourguide.es/barcelona-l45/barcelona-the-3-gaudi-houses-tour-t356790/"
"getyourguide","barcelona","t381019","40","EUR","4.5","3552","gratis 24h","si","https://www.getyourguide.es/barcelona-l45/barcelona-skip-the-line-guided-tour-of-picasso-museum-t381019/"
"getyourguide","barcelona","t382639","47","EUR","4.8","6154","gratis 24h","si","https://www.getyourguide.com/barcelona-l45/barcelona-montserrat-rack-railway-and-winery-t382639/"
"getyourguide","barcelona","t398519","31","EUR","4.7","27982","no reembolsable","si","https://www.getyourguide.es/barcelona-l45/barcelona-casa-batllo-10d-experience-t398519/"
"getyourguide","barcelona","t405115","30","EUR","4.6","919","gratis 24h","si","https://www.getyourguide.es/barcelona-l45/barcelona-flamenco-show-at-palau-dalmases-t405115/"
"getyourguide","barcelona","t411899","68","EUR","4.9","1033","gratis 24h","no","https://www.getyourguide.com/barcelona-l45/from-barcelona-montserrat-monastery-and-scenic-mountain-tour-t411899/"
"getyourguide","barcelona","t419045","29","EUR","4.7","19407","gratis 24h","no","https://www.getyourguide.es/barcelona-l45/barcelona-park-guell-guided-tour-t419045/"
"getyourguide","barcelona","t428189","21","EUR","4.5","1916","no reembolsable","si","https://www.getyourguide.es/barcelona-l45/barcelona-cathedral-of-barcelona-entry-ticket-t428189/"
"getyourguide","barcelona","t448358","38","EUR","4.8","271","gratis 24h","si","https://www.getyourguide.com/barcelona-l45/barcelona-ramblas-old-town-gaudi-houses-walking-tour-t448358/"
"getyourguide","barcelona","t449261","28","EUR","4.3","12092","no reembolsable","si","https://www.getyourguide.es/barcelona-l45/barcelona-barca-immersive-exhibition-ticket-t449261/"
"getyourguide","barcelona","t50027","34","EUR","4.6","113748","gratis 48h","si","https://www.getyourguide.es/barcelona-l45/sagrada-familia-ticket-de-entrada-sin-colas-t50027/"
"getyourguide","barcelona","t53791","23","EUR","4.4","81572","no reembolsable","si","https://www.getyourguide.es/barcelona-l45/skip-the-line-park-guell-entrance-ticket-t53791/"
"getyourguide","barcelona","t57039","74","EUR","4.9","1146","gratis 24h","no","https://www.getyourguide.com/barcelona-l45/montserrat-easy-hike-and-monastery-day-trip-t57039/"
"getyourguide","barcelona","t597287","26","EUR","4.4","1851","gratis 24h","no","https://www.getyourguide.es/barcelona-l45/barcelona-park-guell-guided-tour-with-skip-the-line-entry-t597287/"
"getyourguide","barcelona","t61664","20","EUR","4.8","1582","gratis 24h","si","https://www.getyourguide.es/barcelona-l45/barcelona-old-town-and-gothic-quarter-walking-tour-t61664/"
"getyourguide","barcelona","t638978","26","EUR","4.5","205","gratis 24h","si","https://www.getyourguide.es/barcelona-l45/barcelona-cathedral-of-barcelona-ticket-with-guided-tour-and-vr-experience-t638978/"
"getyourguide","barcelona","t663776","25.99","EUR","4.7","5637","gratis 24h","no","https://www.getyourguide.es/barcelona-l45/gaudi-s-park-guell-guided-tour-with-fast-track-ticket-t663776/"
"getyourguide","barcelona","t67263","48","EUR","4.6","4617","gratis 24h","si","https://www.getyourguide.es/barcelona-l45/barcelona-tablao-flamenco-cordobes-with-fooddrink-options-t67263/"
"getyourguide","barcelona","t682388","31","EUR","4.4","1930","no reembolsable","si","https://www.getyourguide.es/barcelona-l45/barcelona-casa-batllo-intimate-night-visit-w-welcome-drink-t682388/"
"getyourguide","barcelona","t700918","49","EUR","4.2","979","no reembolsable","si","https://www.getyourguide.es/barcelona-l45/barcelona-all-included-fc-barcelona-museum-total-experience-t700918/"
"getyourguide","barcelona","t72879","75","EUR","4.4","5518","gratis 24h","si","https://www.getyourguide.es/barcelona-l45/barcelona-visita-a-la-sagrada-familia-y-visita-opcional-a-la-torre-t72879/"
"getyourguide","barcelona","t76003","25","EUR","4.5","11305","gratis 24h","si","https://www.getyourguide.es/barcelona-l45/barcelona-flamenco-show-at-the-theater-t76003/"
"getyourguide","barcelona","t808734","40","EUR","4.6","158","gratis 24h","si","https://www.getyourguide.es/barcelona-l45/barcelona-skip-the-line-guided-tour-of-the-picasso-museum-t808734/"
"getyourguide","barcelona","t826796","30","EUR","4.5","7565","no reembolsable","si","https://www.getyourguide.es/barcelona-l45/barcelona-park-guell-and-gaudi-house-museum-entry-ticket-t826796/"
"getyourguide","barcelona","t87947","119","EUR","4.8","1184","gratis 24h","no","https://www.getyourguide.com/barcelona-l45/barcelona-park-guell-y-sagrada-familia-entradas-y-tour-t87947/"
"getyourguide","barcelona","t906191","34.04","EUR","4.8","47","gratis 24h","si","https://www.getyourguide.com/barcelona-l45/barcelona-picasso-walking-tour-guided-museum-experience-t906191/"
"getyourguide","barcelona","t913286","25","EUR","4.7","18195","gratis 24h","si","https://www.getyourguide.es/barcelona-l45/barcelona-la-pedrera-casa-mila-ticket-audio-guide-option-t913286/"
"getyourguide","barcelona","t913305","39.5","EUR","4.4","4913","gratis 24h","si","https://www.getyourguide.es/barcelona-l45/barcelona-la-pedrera-night-experience-t913305/"
"getyourguide","barcelona","t913306","39.5","EUR","4.8","220","gratis 24h","si","https://www.getyourguide.es/barcelona-l45/barcelona-casa-mila-early-morning-access-guided-tour-t913306/"
"getyourguide","barcelona","t949030","26","EUR","4.5","176","gratis 24h","si","https://www.getyourguide.es/barcelona-l45/barcelona-private-cathedral-tour-with-rooftop-t949030/"
"getyourguide","granada","t1002737","45","EUR","4.5","860","gratis 24h","si","https://www.getyourguide.es/granada-l207/granada-bano-tradicional-en-hammam-palacio-nazari-con-masaje-opcional-t1002737/"
"getyourguide","granada","t1263762","42","EUR","4.5","0","gratis 24h","si","https://www.getyourguide.es/granada-l207/granada-tour-gourmet-de-vino-y-tapas-t1263762/"
