codigo,precio_nuestro,precio_web,moneda,activa,rating,opiniones,verdicto,n_enlaces
102062P1,65,,,?,,,SIN PRECIO API,2
104043P8,310,,,?,,,SIN PRECIO API,2
109384P93,65,,,?,,,SIN PRECIO API,1
110971P29,35,,,?,,,SIN PRECIO API,1
110971P4,62,,,?,,,SIN PRECIO API,2
110971P5,79,,,?,,,SIN PRECIO API,2
110975P4,91,,,?,,,SIN PRECIO API,2
11131P1,59,,,?,,,SIN PRECIO API,2
121471P1,165,,,?,,,SIN PRECIO API,2
121471P11,135,,,?,,,SIN PRECIO API,2
121471P35,56,,,?,,,SIN PRECIO API,2
13557P3,60.05,,,?,,,SIN PRECIO API,2
135793P1,20,,,?,,,SIN PRECIO API,2
144457P1,125,,,?,,,SIN PRECIO API,2
15932P95,54,,,?,,,SIN PRECIO API,1
16168P10,119,,,?,,,SIN PRECIO API,2
16168P34,109,,,?,,,SIN PRECIO API,2
16168P38,53,,,?,,,SIN PRECIO API,2
16168P9,54,,,?,,,SIN PRECIO API,2
169592P1,67,,,?,,,SIN PRECIO API,2
17377P55,159,,,?,,,SIN PRECIO API,2
177568P2,75,,,?,,,SIN PRECIO API,2
181777P10,79,,,?,,,SIN PRECIO API,2
181777P7,69,,,?,,,SIN PRECIO API,2
190179P1,56,,,?,,,SIN PRECIO API,2
190179P9,30,,,?,,,SIN PRECIO API,2
19234P15,29,,,?,,,SIN PRECIO API,2
199554P3,25,,,?,,,SIN PRECIO API,2
21035P1,74,,,?,,,SIN PRECIO API,2
2140FCBCN,45,,,?,,,SIN PRECIO API,2
2140JTEMA13,71,,,?,,,SIN PRECIO API,2
2140JTEMA20,29,,,?,,,SIN PRECIO API,2
2140LASVENTAS,16,,,?,,,SIN PRECIO API,2
2140P273,63,,,?,,,SIN PRECIO API,2
2140P294,42,,,?,,,SIN PRECIO API,2
2140SAGRADA,55,,,?,,,SIN PRECIO API,2
22705P14,18,,,?,,,SIN PRECIO API,2
22705P16,34,,,?,,,SIN PRECIO API,2
22869P66,29,,,?,,,SIN PRECIO API,2
22869P9,38,,,?,,,SIN PRECIO API,2
22869ROYALPALACEEXC,43,,,?,,,SIN PRECIO API,2
276333P2,29,,,?,,,SIN PRECIO API,2
29788P2,74,,,?,,,SIN PRECIO API,2
322183P1,45,,,?,,,SIN PRECIO API,2
340934P2,32,,,?,,,SIN PRECIO API,2
340934P5,38,,,?,,,SIN PRECIO API,2
3443CITALHVIA,89,,,?,,,SIN PRECIO API,2
3443G4,69,,,?,,,SIN PRECIO API,2
3443G5,71.31,,,?,,,SIN PRECIO API,2
34697P5,30,,,?,,,SIN PRECIO API,2
354476P6,117,,,?,,,SIN PRECIO API,1
3731P233,24,,,?,,,SIN PRECIO API,2
379928P1,125,,,?,,,SIN PRECIO API,2
384801P1,66,,,?,,,SIN PRECIO API,2
419048P1,35,,,?,,,SIN PRECIO API,2
423057P1,105,,,?,,,SIN PRECIO API,2
441637P1,85,,,?,,,SIN PRECIO API,2
48293P13,54,,,?,,,SIN PRECIO API,1
5502350P1,45,,,?,,,SIN PRECIO API,2
5520738P119,7,,,?,,,SIN PRECIO API,2
5587CASAMILA,34,,,?,,,SIN PRECIO API,2
56823P10,48,,,?,,,SIN PRECIO API,2
56823P23,65,,,?,,,SIN PRECIO API,2
5716GOLFWINE,46.64,,,?,,,SIN PRECIO API,2
5716P2,54,,,?,,,SIN PRECIO API,2
5716P4,59,,,?,,,SIN PRECIO API,2
5830WINETAPAS,77,,,?,,,SIN PRECIO API,2
5903WALKTOUR,204,,,?,,,SIN PRECIO API,2
5995P34,42,,,?,,,SIN PRECIO API,2
65969P1,25,,,?,,,SIN PRECIO API,2
68331P12,45,,,?,,,SIN PRECIO API,2
6874P121,110,,,?,,,SIN PRECIO API,2
6874P162,90,,,?,,,SIN PRECIO API,2
6874P84,97.99,,,?,,,SIN PRECIO API,2
6874P88,89.99,,,?,,,SIN PRECIO API,2
70755P1,38,,,?,,,SIN PRECIO API,2
72567P5,37,,,?,,,SIN PRECIO API,2
7812P9,64.8,,,?,,,SIN PRECIO API,2
8297P4,65,,,?,,,SIN PRECIO API,2
8512P81,72,,,?,,,SIN PRECIO API,2
8512P83,39,,,?,,,SIN PRECIO API,2
85805P12,69,,,?,,,SIN PRECIO API,2
8648P4,59,,,?,,,SIN PRECIO API,2
86817P1,34,,,?,,,SIN PRECIO API,2
9866P21,99.47,,,?,,,SIN PRECIO API,2
9866P26,94,,,?,,,SIN PRECIO API,2
9866P29,99,,,?,,,SIN PRECIO API,2
9866P81,204,,,?,,,SIN PRECIO API,2
